a_val,v_val,x_val,y_val,z_val
1951,6.1,24982119,437559,56590
1951,6,25157438,612878,71507
1951,6.3,25407458,862898,42329
1951,6.3,25655291,1110731,75585
1951,6.1,25822921,1278361,21577
1951,6.4,26036786,1492226,64468
1951,7.5,26343261,1798701,20397
1951,7.2,26364575,1820015,41697
1951,6.7,26368092,1823532,45199
1951,6.5,26371068,1826508,48122
1951,7,26372587,1828027,49721
1951,6.2,26389546,1844986,66879
1951,6.5,26392268,1847708,69445
1951,6.6,26398126,1853566,75343
1951,6.3,26398877,1854317,76038
1951,6.5,26405211,1860651,82329
1951,6.5,26407793,1863233,84992
1951,6.5,26410021,1865461,775
1951,6.2,26419357,1874797,10082
1951,6,26425491,1880931,16372
1951,6.3,26427102,1882542,17894
1951,6.6,26443182,1898622,33923
1951,6.3,26470519,1925959,61290
1951,6.1,26504330,1959770,8829
1951,6.3,26537947,1993387,42336
1951,6,26574139,2029579,78531
1951,6.6,26655588,2111028,73561
1951,6.1,26877354,2332794,36143
1951,6.5,26894866,2350306,62182
1951,6.5,27154588,61348,48561
1951,6,27166942,73702,60900
1951,6.2,27171828,78588,39855
1951,6.3,27515387,422147,70337
1951,6,27701839,608599,4461
1951,7,27708014,614774,10586
1951,6.3,27715833,622593,18457
1951,6.2,27870310,777070,10838
1951,6.5,28195770,1102530,66384
1951,6,28281460,1188220,63772
1951,6.1,28455952,1362712,68829
1951,6.3,28456752,1363512,69607
1951,6.1,28461761,1368521,74635
1951,6.2,28463495,1370255,76356
1951,6.3,28496531,1403291,23028
1951,6.1,28504756,1411516,31225
1951,6.1,28566203,1472963,6228
1951,6.2,28567240,1474000,7263
1951,6,28575204,1481964,20483
1951,6.1,28615562,1522322,39121
1951,6.1,28701510,1608270,55150
1951,7.7,28719354,1626114,56456
1951,6,28728422,1635182,65494
1951,6.1,28847017,1753777,34541
1951,6.2,29037898,1944658,43989
1951,7.3,29270838,2177598,10337
1951,7.8,29271024,2177784,10515
1951,6.4,29399915,2306675,53050
1951,6.1,30178716,539916,54195
1951,6.1,30292162,653362,33594
1951,7.5,30428056,789256,29048
1951,6,31327748,1688948,9036
1952,6.4,31053,1928253,55056
1952,6,174060,2071260,45343
1952,6.2,196222,2093422,56956
1952,6,403111,2300311,8595
1952,6.3,468420,2365620,58208
1952,6.2,491453,2388653,82379
1952,6.5,638427,2535627,9896
1952,6,770649,123669,21841
1952,6.5,857875,210895,52933
1952,6.1,975870,328890,86372
1952,6.3,1973503,1326523,32646
1952,6.7,2001831,1354851,44588
1952,6.3,2185257,1538277,5783
1952,6.2,2691783,2044803,59740
1952,6,2863769,2216789,35474
1952,6.2,3617716,426556,82510
1952,7,4765097,1573937,43455
1952,6.5,5707029,2515869,49421
1952,6.1,6288777,553077,47280
1952,6.3,6333163,597463,70493
1952,8.1,6398569,662869,39504
1952,6.3,6453058,717358,7981
1952,6.2,6463832,728132,22762
1952,6.7,6465377,729677,20304
1952,6.4,6493749,758049,48677
1952,6.3,6513430,777730,68291
1952,6.4,6536770,801070,30668
1952,6.3,6537254,801554,5881
1952,6.5,6679960,944260,59858
1952,6,6718564,982864,14424
1952,6.9,6887031,1151331,9477
1952,6.1,6897618,1161918,39152
1952,6,7072642,1336942,22469
1952,6.1,7332923,1597223,23862
1952,6.3,7384551,1648851,65023
1952,6.3,7722258,1986558,62858
1952,7.3,7729035,1993335,69938
1952,6.2,7861148,2125448,38457
1952,6.2,7920639,2184939,11583
1952,6.2,8090483,2354783,85609
1952,6,8242191,2506491,70460
1952,6.1,9082381,801661,48547
1952,6.3,9453618,1172898,65528
1952,6.3,9611838,1331118,51399
1952,6.2,9768431,1487711,21277
1952,6.2,10021798,1741078,29792
1952,6,10043995,1763275,55903
1952,6.5,10090939,1810219,62349
1952,6.3,10160211,1879491,45289
1952,6.2,10339160,2058440,5080
1952,6.5,10403936,2123216,18671
1952,6.4,10408316,2127596,76042
1952,6,10489024,2208304,72540
1952,6.2,11184864,358044,73516
1952,6,11243244,416424,21860
1952,6,12013122,1186302,37181
1952,6.4,12511902,1685082,49852
1952,6.2,12530220,1703400,37081
1952,6.3,12775543,1948723,55827
1952,6.4,12822497,1995677,69959
1952,6.5,13026745,2199925,14963
1952,6.2,13302501,2475681,28390
1952,6,13385546,9926,42511
1952,6,13399151,23531,76522
1952,6.6,13449962,74342,81674
1952,6,13574796,199176,32673
1952,6.3,14014492,638872,54866
1952,6.5,14896712,1521092,79421
1952,6.5,14949103,1573483,71868
1952,6,15480460,2104840,59261
1952,6.1,15509028,2133408,73122
1952,6.7,15682378,2306758,67929
1952,6.6,15713832,2338212,33923
1952,6.4,15714331,2338711,62928
1952,6,15834542,2458922,60211
1952,6.1,15934100,5000,73323
1952,6.8,15975719,46619,28612
1952,6.2,16027395,98295,72699
1952,6.1,16240794,311694,22111
1952,6.5,16664670,735570,83049
1952,6.1,17103979,1174879,66041
1952,6,17432119,1503019,45948
1952,6.5,17775272,1846172,7395
1952,6.1,18211184,2282084,39696
1952,7.5,18445934,2516834,14175
1952,6,18571820,84020,53018
1952,6.2,18742162,254362,28174
1952,6,18800249,312449,687
1952,6.2,20560609,2072809,34549
1952,6.2,20699504,2211704,610
1952,7.4,20793734,2305934,79718
1952,6.2,20869502,2381702,29925
1952,6.4,21050707,307,25004
1952,6,21725567,675167,666
1952,6.2,21733020,682620,21129
1952,6.1,21738107,687707,57840
1952,6.1,22003782,953382,6034
1952,6.7,22769686,1719286,26272
1952,6.3,22976807,1926407,38311
1952,6,23189667,2139267,56513
1952,6.2,23720271,106611,81249
1952,6.1,23800330,186670,74439
1952,6,23888489,274829,12252
1952,6.2,24347147,733487,20042
1952,6.6,24583923,970263,70863
1952,6.1,24656032,1042372,56048
1952,6.1,25049071,1435411,15438
1952,6.3,25458937,1845277,15186
1952,6.4,25469261,1855601,84368
1952,6.3,25488853,1875193,36968
1952,6.1,25745050,2131390,41510
1952,6.3,26112163,2498503,59605
1952,6,26135858,2522198,32069
1952,6,26832020,657500,82460
1952,6.6,26840779,666259,4779
1952,6.5,26841189,666669,5131
1952,6.5,26848925,674405,12985
1952,6.3,26853561,679041,17518
1952,6.5,26882237,707717,46201
1952,6.2,26972999,798479,84888
1952,6.3,26980264,805744,57858
1952,6,27017123,842603,8341
1952,6.5,27275839,1101319,7870
1952,6.2,27301899,1127379,23777
1952,9,27622710,1448190,13056
1952,6.9,27636532,1462012,26351
1952,6.5,27641584,1467064,32303
1952,6.7,27641968,1467448,32660
1952,6.2,27646146,1471626,36054
1952,6.3,27656406,1481886,46005
1952,6.4,27660588,1486068,50702
1952,6.5,27669473,1494953,58985
1952,6,27682218,1507698,72927
1952,6.2,27690397,1515877,80063
1952,6.5,27695191,1520671,85549
1952,6.1,27701325,1526805,4467
1952,6.1,27716911,1542391,21232
1952,6,27721830,1547310,25077
1952,6.3,27729967,1555447,33964
1952,6,27748465,1573945,52237
1952,6,27754941,1580421,59366
1952,6.6,27805566,1631046,23142
1952,6.8,27805650,1631130,19653
1952,6.3,27864556,1690036,82390
1952,6.5,27871716,1697196,2043
1952,6.3,27896105,1721585,48692
1952,6.4,27900324,1725804,30324
1952,6.4,27904334,1729814,40866
1952,6.1,27968674,1794154,12669
1952,6.5,27977605,1803085,21588
1952,6.1,27994946,1820426,38787
1952,6.1,27998263,1823743,43065
1952,6.2,28010113,1835593,54153
1952,6.1,28011993,1837473,56496
1952,6.1,28015022,1840502,59089
1952,6.2,28048974,1874454,7280
1952,6.1,28049469,1874949,5841
1952,6.1,28083306,1908786,41336
1952,6.1,28101961,1927441,59638
1952,6,28153604,1979084,25834
1952,6.5,28367934,2193414,66430
1952,6,28394564,2220044,7849
1952,6.1,28419940,2245420,32295
1952,6.1,28625913,2451393,63493
1952,6.1,28800816,69516,67278
1952,6.3,29000239,268939,35156
1952,6.2,29144796,413496,85278
1952,6,29664336,933036,67616
1952,6.7,29751763,1020463,68497
1952,6.8,29807192,1075892,48619
1952,6,29878131,1146831,21999
1952,6,30167500,1436200,56668
1952,6,30339252,1607952,50150
1952,7,30364882,1633582,76026
1952,6.5,30415824,1684524,44794
1952,6.1,30472397,1741097,11567
1952,6.2,30553770,1822470,78570
1952,6.4,30790701,2059401,69463
1952,6.5,31359842,75722,2485
1952,6.2,31396833,112713,72607
1953,6.2,167090,505370,32884
1953,6.1,290011,628291,67115
1953,6.8,326382,664662,17243
1953,6.4,337032,675312,27910
1953,6.2,354526,692806,45338
1953,6.2,357598,695878,48322
1953,6.2,426166,764446,10948
1953,6.1,523553,861833,43436
1953,6.5,658885,997165,84550
1953,6.2,698958,1037238,45792
1953,6,1187209,1525489,12849
1953,7,1324108,1662388,69141
1953,6.8,1332396,1670676,73691
1953,6,1489741,1828021,59834
1953,6.4,1519713,1857993,878
1953,6.3,1896814,2235094,50407
1953,6.6,1963427,2301707,13769
1953,6.1,2523450,312570,52303
1953,6.1,2684582,473702,43723
1953,6.1,3095284,884404,53677
1953,6.4,3208384,997504,50058
1953,6.3,3209113,998233,49125
1953,6.1,3621147,1410267,75615
1953,6,3749406,1538526,71700
1953,6,4080809,1869929,58263
1953,6.6,4108386,1897506,82164
1953,6.3,4213399,2002519,17251
1953,6,4397562,2186682,36878
1953,6.2,4435116,2224236,74400
1953,6.6,4608934,2398054,42928
1953,6.4,5239065,482865,50749
1953,6,5778981,1022781,38996
1953,6.8,5830952,1074752,81567
1953,6.6,6262026,1505826,81857
1953,6.3,6469289,1713089,27198
1953,6.5,6470511,1714311,27971
1953,6.2,6775430,2019230,73064
1953,6.2,6904892,2148692,75289
1953,6.3,7232439,2476239,4987
1953,7.3,7585577,288077,75412
1953,7.3,7633672,336172,15781
1953,6.1,8765384,1467884,19592
1953,6.2,8767287,1469787,21523
1953,6.2,8826969,1529469,50562
1953,6,8914670,1617170,60153
1953,6.3,9006737,1709237,55097
1953,6,9108944,1811444,66317
1953,6.3,9160584,1863084,33873
1953,6,9202489,1904989,82537
1953,6,9331093,2033593,30421
1953,6.1,10108974,273294,68066
1953,6,10641217,805537,37266
1953,7.4,10686273,850593,9361
1953,6.2,11158282,1322602,50981
1953,6.6,11255209,1419529,63935
1953,6.3,11471893,1636213,19133
1953,6,11618956,1783276,80104
1953,7.5,11812608,1976928,44721
1953,6.4,12219401,2383721,77659
1953,6.1,12397983,24483,477
1953,6,12816924,443424,54234
1953,6.4,12885073,511573,49722
1953,6.2,12987926,614426,82190
1953,6.3,13310383,936883,84227
1953,6.2,13484593,1111093,40489
1953,6.6,13982319,1608819,55023
1953,6,14233915,1860415,16262
1953,6.2,14643635,2270135,80458
1953,6.3,14693945,2320445,44510
1953,6,14840634,2467134,10670
1953,6.5,15270439,355999,27050
1953,6.1,15328392,413952,69601
1953,6.2,15501892,587452,73510
1953,6.1,15947619,1033179,1412
1953,6.8,16109105,1194665,68440
1953,6.8,16177377,1262937,50335
1953,6.5,16599579,1685139,48416
1953,7.2,16700220,1785780,65732
1953,6.1,17099740,2185300,27832
1953,6.1,17348533,2434093,845
1953,6.1,17357032,2442592,66773
1953,6.3,17563391,101711,57511
1953,6.1,18379360,917680,6847
1953,6.4,18421878,960198,56394
1953,6,18725228,1263548,20857
1953,6,19073741,1612061,44098
1953,6,19179890,1718210,33963
1953,6,19263455,1801775,65878
1953,6.3,19986070,2524390,32669
1953,6.5,20143946,127406,17749
1953,6.8,20251435,234895,38861
1953,6.2,20261124,244584,48523
1953,6,20268522,251982,55942
1953,6.3,20278429,261889,18869
1953,6,20661281,644741,39333
1953,6,21194289,1177749,23037
1953,6.3,21348260,1331720,44079
1953,6.9,22231390,2214850,64157
1953,6.3,22255637,2239097,33629
1953,6.1,22359501,2342961,19668
1953,6.1,22478339,2461799,22307
1953,6.3,22737964,159544,22524
1953,6.4,23070394,491974,44398
1953,6.1,23109126,530706,46476
1953,6,23248127,669707,51087
1953,6.4,23404308,825888,34560
1953,6.3,23655334,1076914,68464
1953,6.6,23854479,1276059,45591
1953,6.1,24109354,1530934,41485
1953,6,24213931,1635511,8029
1953,6.8,24534259,1955839,57329
1953,6.1,24899510,2321090,54932
1953,6.3,24966988,2388568,34042
1953,6.6,25047503,2469083,27686
1953,6.1,25211464,66664,2558
1953,6.6,25448919,304119,84760
1953,6.5,25463289,318489,81557
1953,6.2,25606433,461633,4677
1953,6.3,25996048,851248,27915
1953,6.2,26332796,1187996,72140
1953,6,26608784,1463984,40849
1953,6,26914184,1769384,81184
1953,6,27291341,2146541,25903
1953,7.1,27488953,2344153,53704
1953,6.3,27520067,2375267,84855
1953,6.1,27781393,68773,70645
1953,6.4,27969944,257324,14636
1953,6.6,28078827,366207,36595
1953,6,28293047,580427,73585
1953,6.6,28322144,609524,22886
1953,6.3,28411416,698796,24303
1953,6.1,28574252,861632,16321
1953,6.8,28646996,934376,26462
1953,7.9,29353735,1641115,11725
1953,6.5,29376215,1663595,34174
1953,6.2,29382454,1669834,40422
1953,6.7,29405659,1693039,63607
1953,6,29503808,1791188,75360
1953,6.2,29545287,1832667,38858
1953,6,29637345,1924725,22865
1953,6,29650045,1937425,48894
1953,6.6,29910296,2197676,49863
1953,6.5,30034451,2321831,74229
1953,6.4,30120892,2408272,22685
1953,6,30188484,2475864,68844
1953,6.2,30377493,98673,85235
1953,6,30393856,115036,25702
1953,6,30420652,141832,42006
1953,7.3,30821489,542669,43737
1953,6,30869767,590947,63109
1953,6,31113597,834777,11022
1953,6.3,31483189,1204369,16363
1953,6.2,31526416,1247596,24244
1954,6,153922,1411102,9758
1954,6.2,268425,1525605,47656
1954,6.5,343276,1600456,36063
1954,6.8,352296,1609476,45079
1954,6.2,997458,2254638,76738
1954,6,1876146,571686,5504
1954,6.5,1952190,647730,4603
1954,6.8,1952433,647973,4809
1954,6.7,1987994,683534,40460
1954,6,2607391,1302931,77015
1954,7.2,3632816,2328356,38448
1954,6.7,4007993,149093,70379
1954,7,4494620,635720,26112
1954,6,5017137,1158237,44449
1954,6.8,5186437,1327537,67955
1954,6.6,5252872,1393972,26303
1954,6.8,5261691,1402791,56855
1954,6.1,5347706,1488806,34907
1954,6,5465488,1606588,56178
1954,6,5480805,1621905,71511
1954,6.2,5553635,1694735,46020
1954,6,5960079,2101179,38476
1954,6.5,5964928,2106028,34689
1954,6.8,6242580,2383680,56026
1954,6.25,6295568,2436668,39541
1954,6,6572669,167609,2904
1954,6.2,6747704,342644,1299
1954,6.3,6759567,354507,58147
1954,6.2,7203162,798102,75318
1954,6.4,7638867,1233807,7808
1954,6.3,8454988,2049928,29957
1954,6.1,8481675,2076615,43597
1954,7.8,8489827,2084767,21761
1954,6,8613602,2208542,22796
1954,6.5,8620916,2215856,30112
1954,7.1,8706350,2301290,80270
1954,6.2,8792325,2387265,16404
1954,6,9069243,125403,31528
1954,6.3,9391200,447360,32341
1954,6.2,9601391,657551,48417
1954,6.2,9627924,684084,51244
1954,6.6,10181443,1237603,29594
1954,6.2,10801672,1857832,84424
1954,6.3,10959892,2016052,25065
1954,6.4,11009191,2065351,16566
1954,6.4,11049698,2105858,25897
1954,6.6,11184572,2240732,11893
1954,7.2,11187279,2243439,14554
1954,6.7,11278959,2335119,52277
1954,6.5,11315074,2371234,78594
1954,6.4,11546989,68869,7724
1954,6,11553217,75097,41350
1954,6.4,11711393,233273,20496
1954,6,11726000,247880,13236
1954,6.3,12408399,930279,30166
1954,6.2,12956841,1478721,33374
1954,6,13244207,1766087,54775
1954,6.3,14280643,269323,2596
1954,6.9,14489440,478120,6797
1954,6.2,15385348,1374028,55529
1954,6.2,16347476,2336156,70088
1954,6,16550815,3715,57329
1954,6.6,16685112,138012,39690
1954,6,16763579,216479,8962
